coin	hourly	change	granular	time_stamp
Avalanche	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
SafeMoon	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Huobi Token	0.7	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Decred	0.5	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
BitTorrent	0.1	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Hedera Hashgraph	0	negative	neutral (0%)	2021-06-27T10:30:07Z
The Graph	-0.8	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Kusama	-1.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
THORChain	-2.5	negative	cold (-2-4%)	2021-06-27T10:30:07Z
TrueUSD	0.6	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Waves	-0.5	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Huobi BTC	-1.7	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Sushi	-0	negative	neutral (0%)	2021-06-27T10:30:07Z
Compound	0.3	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Dash	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Chiliz	0	negative	neutral (0%)	2021-06-27T10:30:07Z
Telcoin	0.7	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Elrond	0.2	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Zcash	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Quant	-1.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
yearn.finance	-0	negative	neutral (0%)	2021-06-27T10:30:07Z
Holo	0.7	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Helium	-1.6	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Lido Staked Ether	-1.9	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
NEM	-0.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Synthetix Network Token	-0.1	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Enjin Coin	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Paxos Standard	1	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Zilliqa	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Mdex	0.8	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Basic Attention Token	0.2	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Near	0.1	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Liquity USD	1.1	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
XDC Network	3.6	positive	warm (2-4%)	2021-06-27T10:30:07Z
HUSD	-0.4	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Bitcoin Gold	-0.9	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
NEXO	-0.4	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Stacks	-1.3	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Harmony	-0.8	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Bancor Network Token	-0.9	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Horizen	-0.6	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Decentraland	-1.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Nano	0.1	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Qtum	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
DigiByte	0.3	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
cUSDT	1.2	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
KuCoin Token	1.2	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Pirate Chain	-0.9	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
Ontology	0.3	positive	luke warm (0-2%)	2021-06-27T10:30:07Z
Fantom	-0.2	negative	chilly (-0-2%)	2021-06-27T10:30:07Z
coin	hourly	change	granular	time_stamp
Bitcoin	-0.5	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Ethereum	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Tether	0	negative	neutral (0%)	2021-06-27T10:45:05Z
Binance Coin	-0.2	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Cardano	-0.9	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
Dogecoin	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
XRP	-0.3	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
USD Coin	0.4	positive	luke warm (0-2%)	2021-06-27T10:45:05Z
Polkadot	-0.4	negative	chilly (-0-2%)	2021-06-27T10:45:05Z
