coin	hourly	change	granular	time_stamp
Terra	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
IOTA	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
LEO Token	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Tezos	-0	negative	neutral (0%)	2021-06-26T21:45:11Z
cETH	-0.5	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
FTX Token	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
TerraUSD	0.1	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Maker	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Avalanche	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
SafeMoon	-0	negative	neutral (0%)	2021-06-26T21:45:11Z
Huobi Token	-0	negative	neutral (0%)	2021-06-26T21:45:11Z
Hedera Hashgraph	-0.5	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
BitTorrent	-0.5	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
The Graph	1.1	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Kusama	0.3	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
TrueUSD	0.1	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Decred	0.5	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
THORChain	-1.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Waves	0	negative	neutral (0%)	2021-06-26T21:45:11Z
Huobi BTC	-0.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Sushi	-0.5	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Dash	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Chiliz	-0.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Compound	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Telcoin	1.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Zcash	-0.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Elrond	-0.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
yearn.finance	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Quant	2.5	positive	warm (2-4%)	2021-06-26T21:45:11Z
Holo	-1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Helium	-1.7	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Lido Staked Ether	-0.7	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
NEM	-0.2	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Synthetix Network Token	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Paxos Standard	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Enjin Coin	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Zilliqa	-0.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Mdex	-0.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Near	-0.5	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Liquity USD	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Basic Attention Token	-0.5	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
XDC Network	-0.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
NEXO	2.2	positive	warm (2-4%)	2021-06-26T21:45:11Z
Stacks	1.5	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Bitcoin Gold	-2.1	negative	cold (-2-4%)	2021-06-26T21:45:11Z
HUSD	-0	negative	neutral (0%)	2021-06-26T21:45:11Z
Bancor Network Token	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Horizen	-1.1	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Decentraland	0.3	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
cUSDT	0.2	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
Nano	-1.3	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
DigiByte	-0.4	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Harmony	-0.6	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Qtum	-0.9	negative	chilly (-0-2%)	2021-06-26T21:45:11Z
Celo	1.3	positive	luke warm (0-2%)	2021-06-26T21:45:11Z
